Client,Data_GB,Avg_Read_Ops_s,Avg_Write_Ops_s,Total_IOPS,Data_Share,IOPS_Share,Weighted_Share,Monthly_Cost
aahs,1290.24,884.711,421.3,1306.011,0.002609,0.002752,0.00268,643.26
adcs,925.04,938.011,2862.847,3800.858,0.00187,0.008008,0.004939,1185.41
admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventhealth,4341.76,1361.328,9747.365,11108.693,0.008779,0.023405,0.019748,4739.61
akronchildrens,568.54,1253.916,242.702,1496.618,0.00115,0.003153,0.002151,516.34
alameda,289.74,1082.975,206.04,1289.015,0.000586,0.002716,0.001651,396.2
allhealth,4.86,995.294,1.652,996.946,1e-05,0.0021,0.001055,253.23
allina,2304.0,1160.677,1796.606,2957.283,0.004659,0.006231,0.005445,1306.72
altacorp,10.31,1004.306,6.118,1010.425,2.1e-05,0.002129,0.001075,257.96
amc,759.39,1028.774,651.404,1680.178,0.001535,0.00354,0.002538,609.05
arch,1177.6,699.867,344.116,1043.983,0.002381,0.0022,0.00229,549.68
arh,563.41,75.294,199.765,275.059,0.001139,0.00058,0.000859,206.25
asante,479.88,791.141,379.524,1170.664,0.00097,0.002466,0.001718,412.41
ascensional,644.61,1302.072,255.19,1557.262,0.001303,0.003281,0.002292,550.13
ascensionfl,1218.56,2220.348,545.775,2766.123,0.002464,0.005828,0.004146,995.02
ascensionil,2314.24,1052.373,1163.314,2215.687,0.004679,0.004668,0.004674,1121.71
ascensionin,753.58,1157.604,1282.084,2439.688,0.001524,0.00514,0.003332,799.67
ascensionks,509.19,1264.394,565.605,1829.999,0.00103,0.003856,0.002443,586.22
ascensionmd,144.64,1559.244,272.784,1832.028,0.000292,0.00386,0.002076,498.28
ascensionmi,1331.2,1603.555,2140.222,3743.776,0.002692,0.007888,0.00529,1269.53
ascensionny,262.95,2469.208,98.536,2567.744,0.000532,0.00541,0.002971,713.0
ascensionok,350.61,1615.139,235.15,1850.29,0.000709,0.003898,0.002304,552.88
ascensiontn,949.31,1277.269,386.053,1663.322,0.001919,0.003504,0.002712,650.87
ascensiontx,1208.32,1476.604,394.987,1871.59,0.002443,0.003943,0.003193,766.37
ascensionwi,2304.0,1647.632,998.726,2646.358,0.004659,0.005576,0.005117,1228.11
atlanticare,416.52,1219.977,188.264,1408.242,0.000842,0.002967,0.001905,457.11
atlantichealth,91.36,556.011,655.419,1211.43,0.000185,0.002552,0.001369,328.45
aultman,12.5,25.162,27.298,52.46,2.5e-05,0.000111,6.8e-05,16.3
averahealth,306.44,962.173,780.848,1743.021,0.00062,0.003672,0.002146,515.04
balladhealth,1587.2,1763.259,667.967,2431.226,0.003209,0.005122,0.004166,999.8
baptisthealth,1976.32,1377.586,635.241,2012.827,0.003996,0.004241,0.004118,988.43
baptistmem,2396.16,816.311,1796.453,2612.764,0.004845,0.005505,0.005175,1241.98
baycare,133.07,1081.88,173.626,1255.506,0.000269,0.002645,0.001457,349.71
bayhealth,0.001,17.23,0.335,17.565,0.0,3.7e-05,1.9e-05,4.44
bch,368.07,1110.557,64.033,1174.59,0.000744,0.002475,0.001609,386.28
bcm,209.76,1229.433,382.016,1611.449,0.000424,0.003395,0.00191,458.31
beauregard,30.19,1122.924,12.507,1135.431,6.1e-05,0.002392,0.001227,294.39
beebehealth,6.68,796.575,7.335,803.911,1.4e-05,0.001694,0.000854,204.87
bhsiky,2160.64,1123.533,2505.964,3629.497,0.004369,0.007647,0.006008,1441.89
billingsclinic,1986.56,902.895,482.206,1385.101,0.004017,0.002918,0.003468,832.21
blessinghealth,43.89,952.108,17.991,970.098,8.9e-05,0.002044,0.001066,255.92
